Site,Alias,SiteTitle,Description,Creek,Latitude,Longitude,Field,Lab,Stream,Fim,Bact,Ism,HabType,Fish,Cmann,ANID,YSIsiteID,Bmp,Alias,BmpType,Lake,MilesSuit,Miles,USGSID,Inactive,Comments,X,Y,Basin,EventSort,CIP,DA (MI²)
APFGE,APFG,Ashley Park Flo-Guard,Ashley Park Flo-Guard Effluent,McMullen Creek,35.145834,-80.829503,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,APFG,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
APFGI,APFG,Ashley Park Flo-Guard,Ashley Park Flo-Guard Influent,McMullen Creek,35.145909,-80.829511,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,APFG,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
APSCE,APSC,Ashley Park Stormceptor,Ashley Park Stormceptor Effluent,McMullen Creek,35.14598,-80.829289,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,APSC,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
APSCI,APSC,Ashley Park Stormceptor,Ashley Park Stormceptor Influent,McMullen Creek,35.145954,-80.829334,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,APSC,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
BRRGE,BRRG,Bruns Ave. Elem. RG,Bruns Ave. Elementary Rain Garden Effluent,Irwin Creek,35.238223,-80.864463,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,BRRG,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
BRRGI,BRRG,Bruns Ave. Elem. RG,Bruns Ave. Elementary Rain Garden Influent,Irwin Creek,35.238787,-80.86408,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,BRRG,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
BRUN1,BRUN,Bruns Ave. Elem. Wetland,Bruns Ave. Elementary Wetland Influent 1,Irwin Creek,35.239275,-80.862864,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,BRUN,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
BRUN2,BRUN,Bruns Ave. Elem. Wetland,Bruns Ave. Elementary Wetland Influent 2,Irwin Creek,35.23928,-80.864081,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,BRUN,Inlet2,FALSE,FALSE,,,FALSE,,,,,,FALSE,
BRUNE,BRUN,Bruns Ave. Elem. Wetland,Bruns Ave. Elementary Wetland Effluent,Irwin Creek,35.23866,-80.863971,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,BRUN,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CAE,CA,Colonial Ayrsley,Colonial Ayrsley Effluent,,35.134578,-80.937482,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CA,,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CAPI,CA,Colonial Ayrsley,Colonial Ayrsley Primary Influent,,35.134584,-80.93749,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CA,,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CASI,CA,Colonial Ayrsley,Colonial Ayrsley Secondary Influent,,35.134577,-80.937488,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CA,,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CGE,CG,Cherry Gardens,Cherry Gardens Effluent,Upper Little Sugar,35.208018,-80.831897,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CG,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CGI,CG,Cherry Gardens,Cherry Gardens Influent,Upper Little Sugar,35.208137,-80.831931,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CG,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CMCHUE,CMCHU,CMC Huntersville Rain Garden,CMC Huntersville Rain Garden Effluent,McDowell Creek,35.439094,-80.868083,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CMCHU,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CMCHUI,CMCHU,CMC Huntersville Rain Garden,CMC Huntersville Rain Garden Influent,McDowell Creek,35.438615,-80.868087,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CMCHU,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
CTBAYE,CTBAY,Cats Bus Garage Baysaver,Cats Bus Garage Baysaver Effluent,Irwin Creek,35.197261,-80.875204,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTBAY,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTBAYI,CTBAY,Cats Bus Garage Baysaver,Cats Bus Garage Baysaver Influent,Irwin Creek,35.197207,-80.875101,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTBAY,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTCDSE,CYCDS,Cats Bus Garage CDS,Cats Bus Garage CDS Effluent,Irwin Creek,35.198482,-80.873759,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CYCDS,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTCDSI,CTCDS,Cats Bus Garage CDS,Cats Bus Garage CDS Influent,Irwin Creek,35.198555,-80.873693,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTCDS,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTCRYE,CTCRY,Cats Bus Garage Crystal Stream,Cats Bus Garage Crystal Stream Effluent,Irwin Creek,35.198694,-80.873158,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTCRY,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTCRYI,CTCRY,Cats Bus Garage Crystal Stream,Cats Bus Garage Crystal Stream Influent,Irwin Creek,35.198652,-80.873071,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTCRY,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTDDE,CTDD,Cats Bus Garage Downstream Defender,Cats Bus Garage Downstream Defender Effluent,Irwin Creek,35.198426,-80.873589,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTDD,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTDDI,CTDD,Cats Bus Garage Downstream Defender,Cats Bus Garage Downstream Defender Influent,Irwin Creek,35.198399,-80.87354,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTDD,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTSTCE,CTSTC,Cats Bus Garage Stormceptor,Cats Bus Garage Stormceptor Effluent,Upper Little Sugar,35.229371,-80.827842,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTSTC,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CTSTCI,CTSTC,Cats Bus Garage Stormceptor,Cats Bus Garage Stormceptor Influent,Upper Little Sugar,35.229503,-80.827969,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTSTC,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CYTW1E,CTYW,Central Yard Terraced Wetland,Central Yard Terraced Wetland Influent 1,Upper Little Sugar,35.224404,-80.82228,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTYW,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CYTW1I,CTYW,Central Yard Terraced Wetland,Central Yard Terraced Wetland Effluent 1,Upper Little Sugar,35.224449,-80.822407,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTYW,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CYTW2E,CTYW,Central Yard Terraced Wetland,Central Yard Terraced Wetland Influent 2,Upper Little Sugar,35.224358,-80.822204,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTYW,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CYTW2I,CTYW,Central Yard Terraced Wetland,Central Yard Terraced Wetland Effluent 2,Upper Little Sugar,35.224384,-80.822273,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTYW,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
CYTW3E,CTYW,Central Yard Terraced Wetland,Central Yard Terraced Wetland Influent 3,Upper Little Sugar,35.224347,-80.822187,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,CTYW,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
